检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	喷淋流量	在线流量
2024/8/2	32	181.5	白班	CIPC2952406A8022X13Y02	0.4-1.6	#N/A	0.032	45506.05127	N1B1052408010102	XQ-B1-05	G12-XXSD-110A	B1前排	B排	13.36	5.47	0.0128	62.5	25.2	28	23700	柠檬酸80g	0.06	0	0.91	13.25	5.4	0.0123	24.5	23475	38.12705357	102.9322321
2024/8/1	32	181.5	夜班	CIPC2952406C6601X22V02	0.4-1.6	#N/A	0.032	45505.7363	N1B3102408010041	XQ-B3-10	G12-XXSD-110A	B3后排	B排	13.91	5.53	0.0128	82.1	25.9	28	23700	柠檬酸80g	0.06	0	0.91	13.24	5.38	0.0124	24.8	23475	37.87068966	102.3798276
2024/8/3	32	181.5	白班	CIPC2952406C6601X22V04V	0.4-1.6	#N/A	0.032	45507.27878	N1B1072408020202	XQ-B1-07	G12-XXSD-110A	B1前排	B排	12.37	5.9	0.0124	51.7	25.1	28.1	23687.5	转换阶段	0.05	0.07	0.91	12.18	5.46	0.0123	24.3	23375	38.77360825	105.0085567
2024/8/2	32	181.5	白班	CIPC2952407A0102D31Y05W	0.4-1.6	#N/A	0.032	45506.28115	N1B1082408010082	XQ-B1-08	G12-XXSD-110A	B1前排	B排	13.67	5.51	0.0128	61.2	25.3	28	23650	柠檬酸80g	0.06	0	0.91	12.97	5.4	0.0123	23.7	23377.5	38.25036697	103.3982569
2024/8/3	32	181.5	夜班	CIPC2952407A0402D11Y04	0.4-1.6	断上下线	0.032	45507.85343	N1B4152408030251	XQ-B4-15	G12-XXSD-110A	B4后排	B排	10.71	6.14	0.0127	68.2	25.5	28.1	23385	0	0.05	0.07	0.91	11.34	5.71	0.0121	24.6	23195	39.053	105.8648889
2024/8/3	32	181.5	夜班	CIPC2952407A0402D11Y05W	0.4-1.6	#N/A	0.032	45508.03213	N1B3102408030242	XQ-B3-10	G12-YS33-130-110	B3后排	B排	10.98	6.05	0.0127	50	25.7	28.1	23385	0	0.05	0.07	0.91	11.56	5.65	0.0121	24.8	23195	39.13079545	106.135
2024/8/6	32	181.5	白班	CIPC2952407A0402D21N03	0.4-1.6	#N/A	0.032	45510.19981	N1B4132408050442	XQ-B4-13	G12-XXSD-110A	B4后排	B排	9.07	6.13	0.0127	43.9	25.3	28.1	23850	0	0.05	0.07	0.92	9.18	5.71	0.0122	24.3	23590	39.59129032	111.9004839
2024/8/2	32	181.5	白班	CIPC2952407A0702D22N05WF1	0.4-1.6	#N/A	0.032	45506.54052	N2B2112408020111	XQ-B2-11	G12-XXSD-110A	B2后排	B排	13.19	5.58	0.0128	66.7	25.2	28.1	23650	柠檬酸80g	0.06	0	0.91	12.79	5.36	0.0123	23.5	23377.5	38.41679245	103.8906604
2024/8/2	32	181.5	白班	CIPC2952407A0801D32N03	0.4-1.6	#N/A	0.032	45506.12087	N1B4132408010102	XQ-B4-13	1bp	B4后排	B排	13.9	5.47	0.0128	65.1	25.6	28	23650	柠檬酸80g	0.06	0	0.91	13.05	5.37	0.0123	24.1	23377.5	38.17306306	103.0845045
2024/8/6	32	181.5	白班	CIPC2952407A0801D52N03	0.4-1.6	#N/A	0.032	45510.49346	N1B1012408060511	XQ-B1-01	G12-XXSD-110A	B1前排	B排	9.03	6.1	0.0128	52.6	24.9	27.9	23850	0	0.05	0.07	0.91	9.26	5.64	0.0123	23.8	23590	39.54813559	113.1467797
2024/8/3	32	181.5	夜班	CIPC2952407A1002D02Y04	0.4-1.6	#N/A	0.032	45507.82625	N1B2032408030271	XQ-B2-03	G12-XXSD-110A	B2前排	B排	10.92	6.14	0.0126	76.4	25.3	28.1	23385	0	0.05	0.07	0.91	11.34	5.71	0.0121	24.6	23195	38.99351648	105.7347253
2024/8/6	32	181.5	夜班	CIPC2952407A1002D12N02	0.4-1.6	跳线	0.032	45510.74545	N1B3122408060511	XQ-B3-12	G12-YS33-130-110	B3后排	B排	8.92	5.99	0.0128	63.6	25.8	28.3	24000	0	0.05	0.07	0.92	9.38	5.54	0.0124	23.5	23930	39.40303571	114.0742857
2024/8/1	32	181.5	白班	CIPC2952407A1102D32N02	0.4-1.6	#N/A	0.032	45505.08517	N1B4152407310012	XQ-B4-15	G12-YS33-130-110	B4后排	B排	14.73	5.44	0.0128	58.1	25.6	28.1	23837.5	柠檬酸100g	0.06	0	0.91	13.75	5.42	0.0124	23.9	23562.5	37.51471074	101.7267769
2024/8/1	32	181.5	夜班	CIPC2952407A1102D32N03W	0.4-1.6	#N/A	0.032	45505.58238	N1B4112408010061	XQ-B4-11	G12-YS33-130-110	B4后排	B排	13.94	5.5	0.0128	74.7	25.4	27.9	23837.5	柠檬酸80g	0.06	0	0.91	13.04	5.34	0.0124	24.1	23562.5	37.72245763	102.1702542
2024/8/4	32	181.5	夜班	CIPC2952407A1102D52N03	0.4-1.6	跳线	0.032	45508.95771	N1B3142408040322	XQ-B3-14	G12-YS33-130-110	B3后排	B排	9.87	6.09	0.0127	47.5	25.6	28.2	23352.5	0	0.05	0.07	0.92	9.82	5.72	0.0123	24.7	23215	39.27506494	108.0511688
2024/8/2	32	181.5	夜班	CIPC2952407A1401D41N02	0.4-1.6	断缝	0.032	45506.58964	N1B1082408020101	XQ-B1-08	G12-XXSD-110A	B1前排	B排	12.89	5.6	0.0128	42.7	25.8	28.1	23595	柠檬酸80g	0.06	0	0.91	12.83	5.41	0.0123	24.3	23252.5	38.42790476	104.0613333
2024/8/2	32	181.5	白班	CIPC2952407A1602D02Y04	0.4-1.6	#N/A	0.032	45506.13414	N1B1082408010072	XQ-B1-08	G12-XXSD-110A	B1前排	B排	13.9	5.47	0.0128	65.1	25.6	28	23650	柠檬酸80g	0.06	0	0.91	13.05	5.37	0.0123	24.1	23377.5	38.17306306	103.0845045
2024/8/2	32	181.5	白班	CIPC2952407A1602D02Y05W	0.4-1.6	#N/A	0.032	45506.2003	N1B2012408010112	XQ-B2-01	G12-XXSD-110A	B2前排	B排	13.94	5.49	0.0129	67	24.9	28	23650	柠檬酸80g	0.06	0	0.91	13.05	5.37	0.0123	24.1	23377.5	38.21709091	103.2398182
2024/8/4	32	181.5	夜班	CIPC2952407A1602D12Y02	0.4-1.6	#N/A	0.032	45509.04387	N1B1012408040382	XQ-B1-01	5	B1前排	B排	9.49	6.07	0.0127	51	25.9	28.1	23352.5	0	0.05	0.07	0.92	9.96	5.7	0.0123	23.9	23215	39.30723684	108.2686842
2024/8/1	31	180.5	夜班	CIPC2952407A1701D62Y04	0.4-1.6	#N/A	0.031	45505.79558	N1B3092408010071	XQ-B3-09	G12-XXSD-110A	B3后排	B排	14.04	5.52	0.0128	83.3	25.6	28	23700	柠檬酸80g	0.06	0	0.91	13.31	5.42	0.0123	23.9	23475	37.94869565	102.4905217
2024/8/3	32	181.5	白班	CIPC2952407A2001D52N02	0.4-1.6	#N/A	0.032	45507.23595	N1B2012408020212	XQ-B2-01	G12-XXSD-110A	B2前排	B排	11.57	6.01	0.0123	75.4	25	28.2	23687.5	转换阶段	0.05	0.07	0.91	12.15	5.54	0.0123	23.9	23375	38.74234694	104.8959184
2024/8/5	32	181.5	白班	CIPC2952407A2001D62N02	0.4-1.6	#N/A	0.032	45509.5299	N1B1012408050421	XQ-B1-01	G12-XXSD-110A	B1前排	B排	9.66	6.05	0.0128	58	24.9	28	23107.5	0	0.05	0.07	0.92	9.33	5.73	0.0124	24.9	22995	39.54928571	109.4781429
2024/8/1	32	181.5	夜班	CIPC2952407A2202D22Y03	0.4-1.6	#N/A	0.032	45505.93075	N1B2032408010092	XQ-B2-03	G12-XXSD-110A	B2前排	B排	13.93	5.46	0.0128	59.9	25	27.8	23700	柠檬酸80g	0.06	0	0.91	13.25	5.4	0.0123	24.5	23475	38.07522124	102.7824779
2024/8/6	32	181.5	夜班	CIPC2952407A2401D72V03	0.4-1.6	断下线	0.032	45510.65332	N1B2052408060421	XQ-B2-05	G12-XXSD-110A	B2前排	B排	9.16	6	0.0128	61.5	25.7	28.1	24000	0	0.05	0.07	0.91	9.29	5.57	0.0124	23.1	23930	39.41140351	113.7475439
2024/8/2	32	181.5	夜班	CIPC2952407A2502D12Y03	0.4-1.6	#N/A	0.032	45507.00992	N1B3092408020132	XQ-B3-09	G12-XXSD-110A	B3后排	B排	11.76	5.99	0.0122	53.8	25.5	28	23595	转换阶段	0.05	0.07	0.91	12.49	5.5	0.0123	22.9	23252.5	38.671	104.678
2024/8/3	32	181.5	白班	CIPC2952407A2502D12Y05W	0.4-1.6	#N/A	0.032	45507.18624	N1B1042408020192	XQ-B1-04	G12-XXSD-110A	B1前排	B排	12.34	5.94	0.0123	55.3	25.2	28.1	23687.5	转换阶段	0.05	0.07	0.91	12.15	5.54	0.0123	23.9	23375	38.74234694	104.8959184
2024/8/3	32	181.5	夜班	CIPC2952407A2601D51Y02	0.4-1.6	#N/A	0.032	45508.02748	N1B1052408030292	XQ-B1-05	G12-XXSD-110A	B1前排	B排	10.98	6.05	0.0127	50	25.7	28.1	23385	0	0.05	0.07	0.91	11.56	5.65	0.0121	24.8	23195	39.13079545	106.135
2024/8/1	32	181.5	夜班	CIPC2952407A2702D12Y04	0.4-1.6	#N/A	0.032	45505.95623	N1B3102408010062	XQ-B3-10	G12-YS33-130-110	B3后排	B排	13.44	5.46	0.0128	71.8	26.1	27.8	23700	柠檬酸80g	0.06	0	0.91	13.25	5.4	0.0123	24.5	23475	38.07522124	102.7824779
2024/8/2	31	181.5	夜班	CIPC2952407A2702D12Y05W	0.4-1.6	跳线	0.031	45506.709	N1B3092408020101	XQ-B3-09	1	B3后排	B排	13.84	5.61	0.0128	97.9	24.2	28.1	23595	柠檬酸80g	0.06	0	0.91	12.83	5.41	0.0123	24.3	23252.5	38.47028846	104.2352885
2024/8/5	32	181.5	夜班	CIPC2952407A2801D72Y03	0.4-1.6	#N/A	0.032	45509.78064	N1B3142408050391	XQ-B3-14	G12-YS33-130-110	B3后排	B排	9.09	6.19	0.0129	47.6	25.2	28.2	23630	0	0.05	0.07	0.91	9.24	5.68	0.0124	25.8	23565	39.58567164	109.988806
2024/8/5	32	181.5	白班	CIPC2952407A2902D31Y03	0.4-1.6	跳线	0.032	45509.47213	N1B2032408050431	XQ-B2-03	G12-XXSD-110A	B2前排	B排	9.36	6.18	0.0128	55	25.5	28.1	23107.5	0	0.05	0.07	0.91	9.58	5.8	0.0124	24.4	22995	39.56169014	109.3176056
2024/8/5	32	181.5	夜班	CIPC2952407A2902D31Y04	0.4-1.6	#N/A	0.032	45509.96666	N1B2072408050452	XQ-B2-07	G12-XXSD-110A	B2前排	B排	9.21	6.11	0.0128	41.9	24.9	28	23630	0	0.05	0.07	0.91	9.13	5.72	0.0123	24.9	23565	39.61307692	110.7058462
2024/8/2	32	181.5	白班	CIPC2952407A3201D52Y03	0.4-1.6	#N/A	0.032	45506.1637	N1B2062408010102	XQ-B2-06	G12-XXSD-110A	B2前排	B排	14.13	5.45	0.0129	41.8	23.1	27.9	23650	柠檬酸80g	0.06	0	0.91	13.05	5.37	0.0123	24.1	23377.5	38.17306306	103.0845045
2024/8/4	32	181.5	夜班	CIPC2952407A3201D62N03	0.4-1.6	#N/A	0.032	45508.68572	N1B4112408040311	XQ-B4-11	G12-YS33-130-110	B4后排	B排	10.4	5.98	0.0127	49.7	25.4	28.2	23352.5	0	0.05	0.07	0.91	10.3	5.74	0.0123	25	23215	39.263	107.456
2024/8/2	32	181.5	夜班	CIPC2952407A3401D42N02	0.4-1.6	跳线	0.032	45506.78223	N1B3142408020151	XQ-B3-14	G12-YS33-130-110	B3后排	B排	13.79	5.64	0.0128	82.6	25.5	28	23595	柠檬酸80g	0.06	0	0.91	12.7	5.46	0.0123	23	23252.5	38.50067961	104.366699
2024/8/5	32	181.5	白班	CIPC2952407A3401D52N02	0.4-1.6	跳线	0.032	45509.28442	N1B1012408040402	XQ-B1-01	5	B1前排	B排	9.59	6.17	0.0128	56.4	25.4	28.2	23107.5	0	0.05	0.07	0.91	9.86	5.8	0.0123	23.9	22995	39.43753425	108.9364384
2024/8/5	32	181.5	白班	CIPC2952407A3401D52N04	0.4-1.6	#N/A	0.032	45509.32579	N1B4122408040392	XQ-B4-12	G12-YS33-130-110	B4后排	B排	9.53	6.14	0.0129	52.1	25.7	28.1	23107.5	0	0.05	0.07	0.91	9.86	5.8	0.0123	23.9	22995	39.43753425	108.9364384
2024/8/2	32	181.5	白班	CIPC2952407A3503D02N02	0.4-1.6	#N/A	0.032	45506.47299	N1B2042408020121	XQ-B2-04	G12	B2前排	B排	13.14	5.55	0.0128	65.7	25.6	28.2	23650	柠檬酸80g	0.06	0	0.91	12.79	5.36	0.0123	23.5	23377.5	38.3788785	103.7234579
2024/8/3	32	181.5	夜班	CIPC2952407A4002D32N02	0.4-1.6	#N/A	0.032	45507.63918	N1B1022408030251	XQ-B1-02	6	B1前排	B排	11.03	6.11	0.0127	75.1	25.6	28	23385	0	0.05	0.07	0.91	11.26	5.62	0.0121	24.8	23195	38.92236559	105.4821505
