检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	线痕	TTV
2024-08-02	32	181.5	白班	CIPC2952406A8022X13Y02	0.4-1.6	#N/A	0.032	2024/8/2 1:13	N1B1052408010102	XQ-B1-05	G12-XXSD-110A	B1前排	B排	13.36	5.47	1.28%	62.5	25.2	28	23700	柠檬酸80g	6.00%	0.00%	0.91 	13.25	5.4	0.0123 	24.5	23475	0	3
2024-08-01	32	181.5	夜班	CIPC2952406C6601X22V02	0.4-1.6	#N/A	0.032	2024/8/1 17:40	N1B3102408010041	XQ-B3-10	G12-XXSD-110A	B3后排	B排	13.91	5.53	1.28%	82.1	25.9	28	23700	柠檬酸80g	6.00%	0.00%	0.91 	13.24	5.38	0.0124 	24.8	23475	4	3
2024-08-03	32	181.5	白班	CIPC2952406C6601X22V04V	0.4-1.6	#N/A	0.032	2024/8/3 6:41	N1B1072408020202	XQ-B1-07	G12-XXSD-110A	B1前排	B排	12.37	5.9	1.24%	51.7	25.1	28.1	23687.5	转换阶段	5.00%	7.00%	0.91 	12.18	5.46	0.0123 	24.3	23375	1	15
2024-08-02	32	181.5	白班	CIPC2952407A0102D31Y05W	0.4-1.6	#N/A	0.032	2024/8/2 6:44	N1B1082408010082	XQ-B1-08	G12-XXSD-110A	B1前排	B排	13.67	5.51	1.28%	61.2	25.3	28	23650	柠檬酸80g	6.00%	0.00%	0.91 	12.97	5.4	0.0123 	23.7	23377.5	1	1
2024-08-03	32	181.5	夜班	CIPC2952407A0402D11Y04	0.4-1.6	断上下线	0.032	2024/8/3 20:28	N1B4152408030251	XQ-B4-15	G12-XXSD-110A	B4后排	B排	10.71	6.14	1.27%	68.2	25.5	28.1	23385	0	5.00%	7.00%	0.91 	11.34	5.71	0.0121 	24.6	23195	0	16
2024-08-03	32	181.5	夜班	CIPC2952407A0402D11Y05W	0.4-1.6	#N/A	0.032	2024/8/4 0:46	N1B3102408030242	XQ-B3-10	G12-YS33-130-110	B3后排	B排	10.98	6.05	1.27%	50	25.7	28.1	23385	0	5.00%	7.00%	0.91 	11.56	5.65	0.0121 	24.8	23195	1	1
2024-08-06	32	181.5	白班	CIPC2952407A0402D21N03	0.4-1.6	#N/A	0.032	2024/8/6 4:47	N1B4132408050442	XQ-B4-13	G12-XXSD-110A	B4后排	B排	9.07	6.13	1.27%	43.9	25.3	28.1	23850	0	5.00%	7.00%	0.92 	9.18	5.71	0.0122 	24.3	23590	1	1
2024-08-02	32	181.5	白班	CIPC2952407A0702D22N05WF1	0.4-1.6	#N/A	0.032	2024/8/2 12:58	N2B2112408020111	XQ-B2-11	G12-XXSD-110A	B2后排	B排	13.19	5.58	1.28%	66.7	25.2	28.1	23650	柠檬酸80g	6.00%	0.00%	0.91 	12.79	5.36	0.0123 	23.5	23377.5	0	25
2024-08-02	32	181.5	白班	CIPC2952407A0801D32N03	0.4-1.6	#N/A	0.032	2024/8/2 2:54	N1B4132408010102	XQ-B4-13	1bp	B4后排	B排	13.9	5.47	1.28%	65.1	25.6	28	23650	柠檬酸80g	6.00%	0.00%	0.91 	13.05	5.37	0.0123 	24.1	23377.5	3	22
2024-08-06	32	181.5	白班	CIPC2952407A0801D52N03	0.4-1.6	#N/A	0.032	2024/8/6 11:50	N1B1012408060511	XQ-B1-01	G12-XXSD-110A	B1前排	B排	9.03	6.1	1.28%	52.6	24.9	27.9	23850	0	5.00%	7.00%	0.91 	9.26	5.64	0.0123 	23.8	23590	11	14
2024-08-03	32	181.5	夜班	CIPC2952407A1002D02Y04	0.4-1.6	#N/A	0.032	2024/8/3 19:49	N1B2032408030271	XQ-B2-03	G12-XXSD-110A	B2前排	B排	10.92	6.14	1.26%	76.4	25.3	28.1	23385	0	5.00%	7.00%	0.91 	11.34	5.71	0.0121 	24.6	23195	0	3
2024-08-06	32	181.5	夜班	CIPC2952407A1002D12N02	0.4-1.6	跳线	0.032	2024/8/6 17:53	N1B3122408060511	XQ-B3-12	G12-YS33-130-110	B3后排	B排	8.92	5.99	1.28%	63.6	25.8	28.3	24000	0	5.00%	7.00%	0.92 	9.38	5.54	0.0124 	23.5	23930	18	8
2024-08-01	32	181.5	白班	CIPC2952407A1102D32N02	0.4-1.6	#N/A	0.032	2024/8/1 2:02	N1B4152407310012	XQ-B4-15	G12-YS33-130-110	B4后排	B排	14.73	5.44	1.28%	58.1	25.6	28.1	23837.5	柠檬酸100g	6.00%	0.00%	0.91 	13.75	5.42	0.0124 	23.9	23562.5	0	20
2024-08-01	32	181.5	夜班	CIPC2952407A1102D32N03W	0.4-1.6	#N/A	0.032	2024/8/1 13:58	N1B4112408010061	XQ-B4-11	G12-YS33-130-110	B4后排	B排	13.94	5.5	1.28%	74.7	25.4	27.9	23837.5	柠檬酸80g	6.00%	0.00%	0.91 	13.04	5.34	0.0124 	24.1	23562.5	0	6
2024-08-04	32	181.5	夜班	CIPC2952407A1102D52N03	0.4-1.6	跳线	0.032	2024/8/4 22:59	N1B3142408040322	XQ-B3-14	G12-YS33-130-110	B3后排	B排	9.87	6.09	1.27%	47.5	25.6	28.2	23352.5	0	5.00%	7.00%	0.92 	9.82	5.72	0.0123 	24.7	23215	10	9
2024-08-02	32	181.5	夜班	CIPC2952407A1401D41N02	0.4-1.6	断缝	0.032	2024/8/2 14:09	N1B1082408020101	XQ-B1-08	G12-XXSD-110A	B1前排	B排	12.89	5.6	1.28%	42.7	25.8	28.1	23595	柠檬酸80g	6.00%	0.00%	0.91 	12.83	5.41	0.0123 	24.3	23252.5	22	2
2024-08-02	32	181.5	白班	CIPC2952407A1602D02Y04	0.4-1.6	#N/A	0.032	2024/8/2 3:13	N1B1082408010072	XQ-B1-08	G12-XXSD-110A	B1前排	B排	13.9	5.47	1.28%	65.1	25.6	28	23650	柠檬酸80g	6.00%	0.00%	0.91 	13.05	5.37	0.0123 	24.1	23377.5	0	6
2024-08-02	32	181.5	白班	CIPC2952407A1602D02Y05W	0.4-1.6	#N/A	0.032	2024/8/2 4:48	N1B2012408010112	XQ-B2-01	G12-XXSD-110A	B2前排	B排	13.94	5.49	1.29%	67	24.9	28	23650	柠檬酸80g	6.00%	0.00%	0.91 	13.05	5.37	0.0123 	24.1	23377.5	0	4
2024-08-04	32	181.5	夜班	CIPC2952407A1602D12Y02	0.4-1.6	#N/A	0.032	2024/8/5 1:03	N1B1012408040382	XQ-B1-01	5	B1前排	B排	9.49	6.07	1.27%	51	25.9	28.1	23352.5	0	5.00%	7.00%	0.92 	9.96	5.7	0.0123 	23.9	23215	13	1
2024-08-01	31	180.5	夜班	CIPC2952407A1701D62Y04	0.4-1.6	#N/A	0.031	2024/8/1 19:05	N1B3092408010071	XQ-B3-09	G12-XXSD-110A	B3后排	B排	14.04	5.52	1.28%	83.3	25.6	28	23700	柠檬酸80g	6.00%	0.00%	0.91 	13.31	5.42	0.0123 	23.9	23475	0	0
2024-08-03	32	181.5	白班	CIPC2952407A2001D52N02	0.4-1.6	#N/A	0.032	2024/8/3 5:39	N1B2012408020212	XQ-B2-01	G12-XXSD-110A	B2前排	B排	11.57	6.01	1.23%	75.4	25	28.2	23687.5	转换阶段	5.00%	7.00%	0.91 	12.15	5.54	0.0123 	23.9	23375	1	7
2024-08-05	32	181.5	白班	CIPC2952407A2001D62N02	0.4-1.6	#N/A	0.032	2024/8/5 12:43	N1B1012408050421	XQ-B1-01	G12-XXSD-110A	B1前排	B排	9.66	6.05	1.28%	58	24.9	28	23107.5	0	5.00%	7.00%	0.92 	9.33	5.73	0.0124 	24.9	22995	4	7
2024-08-01	32	181.5	夜班	CIPC2952407A2202D22Y03	0.4-1.6	#N/A	0.032	2024/8/1 22:20	N1B2032408010092	XQ-B2-03	G12-XXSD-110A	B2前排	B排	13.93	5.46	1.28%	59.9	25	27.8	23700	柠檬酸80g	6.00%	0.00%	0.91 	13.25	5.4	0.0123 	24.5	23475	7	1
2024-08-06	32	181.5	夜班	CIPC2952407A2401D72V03	0.4-1.6	断下线	0.032	2024/8/6 15:40	N1B2052408060421	XQ-B2-05	G12-XXSD-110A	B2前排	B排	9.16	6	1.28%	61.5	25.7	28.1	24000	0	5.00%	7.00%	0.91 	9.29	5.57	0.0124 	23.1	23930	2	87
2024-08-02	32	181.5	夜班	CIPC2952407A2502D12Y03	0.4-1.6	#N/A	0.032	2024/8/3 0:14	N1B3092408020132	XQ-B3-09	G12-XXSD-110A	B3后排	B排	11.76	5.99	1.22%	53.8	25.5	28	23595	转换阶段	5.00%	7.00%	0.91 	12.49	5.5	0.0123 	22.9	23252.5	4	7
2024-08-03	32	181.5	白班	CIPC2952407A2502D12Y05W	0.4-1.6	#N/A	0.032	2024/8/3 4:28	N1B1042408020192	XQ-B1-04	G12-XXSD-110A	B1前排	B排	12.34	5.94	1.23%	55.3	25.2	28.1	23687.5	转换阶段	5.00%	7.00%	0.91 	12.15	5.54	0.0123 	23.9	23375	3	3
