成品电导率,成品PH值,成品浓度,成品浊度,成品温度,成品表面张力,成品COD,柠檬酸,置换量,离子液添加量,原液添加比例,异常类型
13.36,5.47,1.28%,62.5,25.2,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.91,5.53,1.28%,82.1,25.9,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
12.37,5.9,1.24%,51.7,25.1,28.1,23687.5,转换阶段,5.00%,7.00%,0.91,nan
13.67,5.51,1.28%,61.2,25.3,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
10.71,6.14,1.27%,68.2,25.5,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,断上下线
10.98,6.05,1.27%,50.0,25.7,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.07,6.13,1.27%,43.9,25.3,28.1,23850.0,柠檬酸0g,5.00%,7.00%,0.92,nan
13.19,5.58,1.28%,66.7,25.2,28.1,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.9,5.47,1.28%,65.1,25.6,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.03,6.1,1.28%,52.6,24.9,27.9,23850.0,柠檬酸0g,5.00%,7.00%,0.91,nan
10.92,6.14,1.26%,76.4,25.3,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
8.92,5.99,1.28%,63.6,25.8,28.3,24000.0,柠檬酸0g,5.00%,7.00%,0.92,跳线
14.73,5.44,1.28%,58.1,25.6,28.1,23837.5,柠檬酸100g,6.00%,0.00%,0.91,nan
13.94,5.5,1.28%,74.7,25.4,27.9,23837.5,柠檬酸80g,6.00%,0.00%,0.91,nan
9.87,6.09,1.27%,47.5,25.6,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.92,跳线
12.89,5.6,1.28%,42.7,25.8,28.1,23595.0,柠檬酸80g,6.00%,0.00%,0.91,断缝
13.9,5.47,1.28%,65.1,25.6,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.94,5.49,1.29%,67.0,24.9,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.49,6.07,1.27%,51.0,25.9,28.1,23352.5,柠檬酸0g,5.00%,7.00%,0.92,nan
14.04,5.52,1.28%,83.3,25.6,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
11.57,6.01,1.23%,75.4,25.0,28.2,23687.5,转换阶段,5.00%,7.00%,0.91,nan
9.66,6.05,1.28%,58.0,24.9,28.0,23107.5,柠檬酸0g,5.00%,7.00%,0.92,nan
13.93,5.46,1.28%,59.9,25.0,27.8,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.16,6.0,1.28%,61.5,25.7,28.1,24000.0,柠檬酸0g,5.00%,7.00%,0.91,断下线
11.76,5.99,1.22%,53.8,25.5,28.0,23595.0,转换阶段,5.00%,7.00%,0.91,nan
12.34,5.94,1.23%,55.3,25.2,28.1,23687.5,转换阶段,5.00%,7.00%,0.91,nan
10.98,6.05,1.27%,50.0,25.7,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
13.44,5.46,1.28%,71.8,26.1,27.8,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.84,5.61,1.28%,97.9,24.2,28.1,23595.0,柠檬酸80g,6.00%,0.00%,0.91,跳线
9.09,6.19,1.29%,47.6,25.2,28.2,23630.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.36,6.18,1.28%,55.0,25.5,28.1,23107.5,柠檬酸0g,5.00%,7.00%,0.91,跳线
9.21,6.11,1.28%,41.9,24.9,28.0,23630.0,柠檬酸0g,5.00%,7.00%,0.91,nan
14.13,5.45,1.29%,41.8,23.1,27.9,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
10.4,5.98,1.27%,49.7,25.4,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
13.79,5.64,1.28%,82.6,25.5,28.0,23595.0,柠檬酸80g,6.00%,0.00%,0.91,跳线
9.59,6.17,1.28%,56.4,25.4,28.2,23107.5,柠檬酸0g,5.00%,7.00%,0.91,跳线
9.53,6.14,1.29%,52.1,25.7,28.1,23107.5,柠檬酸0g,5.00%,7.00%,0.91,nan
13.14,5.55,1.28%,65.7,25.6,28.2,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
11.03,6.11,1.27%,75.1,25.6,28.0,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
