成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[9.155, 9.65]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[26.25, 27.9]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",5.0,5.225236619228654,29,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.925, 5.985]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,1.2637912231185602,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[6.135, 6.29]","[0.013, 0.0132]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,4.6957283609126925,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",7.0,8.222586348136389,45,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",5.0,5.29911031273021,29,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0125, 0.0127]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,3.8465038716897046,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,4.044291734841856,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0129, 0.013]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,5.335185142991186,29,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",5.0,1.4723738853928339,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,2.9448085827630366,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[27.85, 27.95]","[22972.5, 23103.75]","[4.935, 5.065]",0.0,1.4753102170700814,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,1.6604050107352475,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.85, 27.95]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,1.291446884517967,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0125, 0.0127]","[32.05, 35.6]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",1.0,0.9241944381483966,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[26.25, 27.9]","[28.05, 28.155]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,0.7405756521230958,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",3.0,1.3018756147060746,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",4.0,3.371486854980655,18,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",4.0,5.994770395656461,32,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",4.0,3.7468075122569995,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.925, 5.985]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",1.0,1.312083067783372,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,2.4396462941633628,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,3.9413605541439978,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
