成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[9.075, 10.6]","[5.925, 5.995]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,1.8724761992029153,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",6.0,3.109010617479289,41,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[8.895, 9.075]","[5.925, 5.995]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",1.0,0.3797844424061648,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",2.0,0.835996999811266,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[6.095, 6.155]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,1.1409007557199087,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.995, 6.095]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",2.0,1.97774397626937,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[6.095, 6.155]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.15230293905980757,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",1.0,1.9803430334343721,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[8.895, 9.075]","[6.155, 6.29]","[0.013, 0.0132]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,1.8327395792415313,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,3.375925747208151,44,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",1.0,0.5375716403409253,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",2.0,0.9996452071293848,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",922,0.055314533622559656,0.08099058853897259
