成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[33.105, 35.6]","[26.15, 26.35]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",1.0,1.5537519582133783,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[33.105, 35.6]","[26.15, 26.35]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.6229686890874879,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",1.0,0.65397581606893,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,1.212402908285348,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",1.0,0.5519313146080586,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.5539834976592106,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",1.0,0.6662481029931894,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,2.902587864740822,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.6714267012513955,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.22999047427014332,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",504,0.0992063492063492,0.11815232591329594
