清液池电导率区间,清液池PH区间,清液池浓度区间,清液池温度区间,清液池COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[7.585, 7.735]","[5.475, 5.95]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",4.0,7.200033922859661,43,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.585, 7.735]","[5.475, 5.95]","[0.0119, 0.0121]","[23.35, 23.95]","[22862.5, 22928.75]","[4.935, 5.065]",8.0,9.537086586106474,56,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.32, 5.425]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",7.0,8.857271836720457,52,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.585, 7.735]","[5.475, 5.95]","[0.0121, 0.0122]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",4.0,6.618988198089343,38,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[8.16, 8.45]","[5.32, 5.425]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",7.0,10.316055814275762,59,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[8.45, 9.055]","[5.32, 5.425]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",9.0,9.118422083179913,52,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.425, 5.475]","[0.0121, 0.0122]","[23.35, 23.95]","[22862.5, 22928.75]","[4.935, 5.065]",4.0,7.939374912742245,45,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[8.16, 8.45]","[5.425, 5.475]","[0.0121, 0.0122]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",8.0,9.61655426830311,54,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.425, 5.475]","[0.0119, 0.0121]","[24.55, 25.15]","[23092.5, 23753.75]","[4.935, 5.065]",4.0,5.921204804828766,33,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.475, 5.95]","[0.0121, 0.0122]","[22.1, 23.35]","[22862.5, 22928.75]","[4.935, 5.065]",9.0,9.160572730627328,51,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.585, 7.735]","[5.475, 5.95]","[0.0119, 0.0121]","[23.35, 23.95]","[22928.75, 23092.5]","[4.935, 5.065]",4.0,7.0142995128596155,39,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.475, 5.95]","[0.0121, 0.0122]","[23.35, 23.95]","[22862.5, 22928.75]","[4.935, 5.065]",7.0,6.20437240725219,34,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.32, 5.425]","[0.0119, 0.0121]","[23.35, 23.95]","[22928.75, 23092.5]","[4.935, 5.065]",11.0,14.071236795030828,77,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[8.16, 8.45]","[5.32, 5.425]","[0.0119, 0.0121]","[22.1, 23.35]","[22928.75, 23092.5]","[4.935, 5.065]",9.0,9.404253103976588,51,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.735, 8.16]","[5.475, 5.95]","[0.0119, 0.0121]","[23.35, 23.95]","[22928.75, 23092.5]","[4.935, 5.065]",11.0,19.45534572060481,105,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[6.935, 7.585]","[5.475, 5.95]","[0.0122, 0.0123]","[23.35, 23.95]","[22862.5, 22928.75]","[4.935, 5.065]",10.0,4.381184829053686,23,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.585, 7.735]","[5.475, 5.95]","[0.0123, 0.0128]","[22.1, 23.35]","[23092.5, 23753.75]","[5.065, 6.93]",6.0,8.409057906619779,44,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[6.935, 7.585]","[5.475, 5.95]","[0.0122, 0.0123]","[23.35, 23.95]","[22862.5, 22928.75]","[5.065, 6.93]",0.0,0.5878208086752006,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
"[7.585, 7.735]","[5.475, 5.95]","[0.0122, 0.0123]","[23.35, 23.95]","[22928.75, 23092.5]","[5.065, 6.93]",6.0,6.6744787970393356,34,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1113,0.14375561545372867,0.1839422524001672
