清液池电导率区间,清液池PH区间,清液池浓度区间,清液池温度区间,清液池COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[7.76, 8.365]","[5.32, 5.445]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22972.5]","[4.935, 5.065]",8.0,12.898713314275456,193,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.585, 5.625]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22972.5]","[4.935, 5.065]",1.0,2.7145520538750945,40,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[8.365, 9.145]","[5.32, 5.445]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22972.5]","[4.935, 5.065]",2.0,3.101535710272113,45,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.32, 5.445]","[0.0119, 0.0121]","[23.65, 24.55]","[22862.5, 22972.5]","[4.935, 5.065]",4.0,3.0321099741153077,43,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.445, 5.515]","[0.0119, 0.0121]","[22.1, 23.35]","[22862.5, 22972.5]","[4.935, 5.065]",2.0,3.1078975329918355,44,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.625, 5.705]","[0.0121, 0.0122]","[22.1, 23.35]","[22862.5, 22972.5]","[4.935, 5.065]",2.0,2.576752066561672,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.32, 5.445]","[0.0119, 0.0121]","[23.35, 23.65]","[22862.5, 22972.5]","[4.935, 5.065]",0.0,2.998664060815326,41,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.445, 5.515]","[0.0119, 0.0121]","[23.65, 24.55]","[22972.5, 23092.5]","[4.935, 5.065]",2.0,2.729241012166698,37,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.545, 5.585]","[0.0119, 0.0121]","[23.65, 24.55]","[22862.5, 22972.5]","[4.935, 5.065]",2.0,3.6952941507030186,50,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.32, 5.445]","[0.0119, 0.0121]","[23.65, 24.55]","[22972.5, 23092.5]","[4.935, 5.065]",1.0,2.1113057126215686,28,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
