清液池电导率区间,清液池PH区间,清液池浓度区间,清液池温度区间,清液池COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[8.045, 8.16]","[5.32, 5.415]","[0.0119, 0.0121]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",3.9999999999999996,5.4304919580841275,49,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[8.045, 8.16]","[5.415, 5.475]","[0.0119, 0.0121]","[24.55, 25.15]","[23381.25, 24377.5]","[4.915, 5.145]",1.0,3.327271129210019,30,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[7.81, 8.045]","[5.415, 5.475]","[0.0121, 0.0122]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",4.0,5.070164755405939,45,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[7.81, 8.045]","[5.415, 5.475]","[0.0119, 0.0121]","[22.1, 23.85]","[22928.75, 23092.5]","[4.915, 5.145]",4.0,4.850956035297087,43,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[8.16, 9.035]","[5.415, 5.475]","[0.0119, 0.0121]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",7.000000000000001,5.6705759067096935,50,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[7.635, 7.81]","[5.475, 5.715]","[0.0119, 0.0121]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",3.0,4.783981507236184,42,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[8.045, 8.16]","[5.475, 5.715]","[0.0121, 0.0122]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",3.0,3.424301764427123,30,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[8.045, 8.16]","[5.475, 5.715]","[0.0119, 0.0121]","[22.1, 23.85]","[22928.75, 23092.5]","[4.915, 5.145]",8.0,11.657171520914329,102,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[7.635, 7.81]","[5.475, 5.715]","[0.0119, 0.0121]","[23.85, 24.45]","[22862.5, 22928.75]","[4.915, 5.145]",6.0,6.215826466882104,54,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
"[7.81, 8.045]","[5.475, 5.715]","[0.0121, 0.0122]","[22.1, 23.85]","[22862.5, 22928.75]","[4.915, 5.145]",7.0,5.680849869304824,49,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1025,0.09951219512195122,0.11746073663707439
