成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比
"[9.075, 10.6]","[5.925, 5.995]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07489904796811664,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.14634146341463414,0.07582952725559242,41,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.925, 5.995]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.2,0.075956888481233,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.18181818181818182,0.07599972725556964,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[6.095, 6.155]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07606005038132724,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.07692307692307693,0.07606707601036042,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[6.095, 6.155]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.0761514695299038,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.038461538461538464,0.07616703974747588,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[6.155, 6.29]","[0.013, 0.0132]","[63.695, 97.92]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07636414913506384,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07672558516382164,44,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[63.695, 97.92]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.14285714285714285,0.07679594862013223,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.925, 5.995]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.15384615384615385,0.07689578516379886,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.04310344827586207,0.07716486778974242,116,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[51.75, 59.385]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07723844295046955,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.125,0.07733506778971964,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.4, 5.925]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07766387886786141,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.2,0.0778936132060654,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.51, 8.895]","[5.995, 6.095]","[0.0125, 0.0126]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07791392701465533,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.15, 25.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07793123012524875,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[51.75, 59.385]","[25.15, 25.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07800480528597589,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.51, 8.895]","[5.995, 6.095]","[0.0126, 0.0129]","[51.75, 59.385]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.047619047619047616,0.07810623429304876,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.06451612903225806,0.07822270830285878,31,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.4, 5.925]","[0.0126, 0.0129]","[13.11, 51.75]","[25.35, 25.55]","[28.155, 28.4]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07848404343276094,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.51, 8.895]","[6.095, 6.155]","[0.0126, 0.0129]","[51.75, 59.385]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07851959571593671,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[6.095, 6.155]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.25,0.07854465057717017,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.895, 9.075]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.15, 25.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.0789890706383651,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[8.51, 8.895]","[5.995, 6.095]","[0.0126, 0.0129]","[13.11, 51.75]","[25.55, 26.35]","[27.95, 28.155]","[22972.5, 23241.25]","[4.935, 5.065]",0.037037037037037035,0.07918191879401455,54,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.075, 10.6]","[5.995, 6.095]","[0.0129, 0.013]","[63.695, 97.92]","[25.55, 26.35]","[27.85, 27.95]","[22972.5, 23241.25]","[4.935, 5.065]",0.0,0.07933524357790767,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
