成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[33.105, 35.6]","[26.15, 26.35]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.06666666666666667,0.10358346388089192,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[33.105, 35.6]","[26.15, 26.35]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.1038281148479147,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.16666666666666666,0.10899596934482163,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11021844620775889,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.2,0.11038626292161163,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11079669953184204,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.16666666666666666,0.11104135049886482,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11163799479772392,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11190445020856593,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[9.155, 9.585]","[6.115, 6.135]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",0.05555555555555555,0.11286056496514926,18,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[9.155, 9.585]","[6.115, 6.135]","[0.013, 0.0132]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,0.11302635060835689,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0125, 0.0127]","[33.105, 35.6]","[25.2514, 25.75]","[27.85, 27.95]","[24900.0, 25875.0]","[5.265, 6.93]",0.07692307692307693,0.11404691485394114,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[24.95, 25.2514]","[27.95, 28.05]","[24900.0, 25875.0]","[4.915, 5.145]",0.0,0.11441353895413683,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11499523713507168,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[25.75, 26.15]","[27.85, 27.95]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11512189918955239,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.25,0.11514117557364889,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.19230769230769232,0.11525067830903724,26,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0125, 0.0127]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[24750.0, 24900.0]","[4.915, 5.145]",0.0,0.11530623704083506,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[9.155, 9.585]","[6.115, 6.135]","[0.013, 0.0132]","[13.11, 33.105]","[25.2514, 25.75]","[28.05, 28.155]","[22972.5, 23693.75]","[5.145, 5.265]",0.375,0.1153465981497632,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[25.75, 26.15]","[27.7, 27.85]","[24900.0, 25875.0]","[5.145, 5.265]",0.3333333333333333,0.11536657768729847,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[27.85, 27.95]","[24900.0, 25875.0]","[5.145, 5.265]",0.16666666666666666,0.11537734036351796,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[25.2514, 25.75]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11540567374530207,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[24.95, 25.2514]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11541737190305137,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[23.1, 24.95]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.3333333333333333,0.11547481301073448,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.06666666666666667,0.11549532927606002,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[13.11, 33.105]","[26.15, 26.35]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.1156313857420985,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0127, 0.0129]","[33.105, 35.6]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[4.915, 5.145]",0.0,0.11574240063936048,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.16666666666666666,0.11590576588629042,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[24.95, 25.2514]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.3333333333333333,0.11594225995571776,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[33.105, 35.6]","[25.2514, 25.75]","[27.85, 27.95]","[24900.0, 25875.0]","[5.265, 6.93]",0.125,0.116097244715032,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[13.11, 33.105]","[24.95, 25.2514]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11618691092274054,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[23.1, 24.95]","[28.05, 28.155]","[24900.0, 25875.0]","[4.915, 5.145]",0.07142857142857142,0.11622692522207093,14,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.115, 6.135]","[0.013, 0.0132]","[13.11, 33.105]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[5.265, 6.93]",0.0,0.11657510255768556,14,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}"
"[7.415, 9.155]","[6.115, 6.135]","[0.013, 0.0132]","[35.6, 45.95]","[25.75, 26.15]","[27.85, 27.95]","[23693.75, 24750.0]","[5.265, 6.93]",0.0,0.11659226187677793,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}"
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,0.11677418235130464,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[7.415, 9.155]","[6.115, 6.135]","[0.013, 0.0132]","[13.11, 33.105]","[25.75, 26.15]","[27.7, 27.85]","[23693.75, 24750.0]","[5.265, 6.93]",0.0,0.11680050467133513,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}"
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[33.105, 35.6]","[25.75, 26.15]","[27.85, 27.95]","[23693.75, 24750.0]","[4.805, 4.915]",0.1,0.11690084440578537,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0127, 0.0129]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[24750.0, 24900.0]","[4.915, 5.145]",0.25,0.11710032201265919,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.16666666666666666,0.1171865567276921,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[35.6, 45.95]","[25.75, 26.15]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11734350940314578,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[13.11, 33.105]","[26.35, 27.9]","[28.05, 28.155]","[23693.75, 24750.0]","[5.265, 6.93]",0.13636363636363635,0.11747700787111665,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}"
"[9.155, 9.585]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[27.95, 28.05]","[23693.75, 24750.0]","[5.265, 6.93]",0.09090909090909091,0.1175325295008941,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.058823529411764705,0.11760407148344848,17,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[35.6, 45.95]","[26.15, 26.35]","[27.85, 27.95]","[24900.0, 25875.0]","[5.145, 5.265]",0.3333333333333333,0.1176221390369449,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[9.155, 9.585]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[26.35, 27.9]","[28.05, 28.155]","[23693.75, 24750.0]","[4.805, 4.915]",0.0,0.11767608766473574,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.07142857142857142,0.11775394601337619,14,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[27.85, 27.95]","[23693.75, 24750.0]","[5.145, 5.265]",0.15789473684210525,0.11799059774805948,19,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[24.95, 25.2514]","[27.85, 27.95]","[24900.0, 25875.0]","[4.915, 5.145]",0.0,0.11803843307749488,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[45.95, 57.35]","[25.75, 26.15]","[28.155, 28.4]","[24900.0, 25875.0]","[5.145, 5.265]",0.6666666666666666,0.11827599936840051,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[13.11, 33.105]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[5.145, 5.265]",0.16666666666666666,0.11828543455450975,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[24.95, 25.2514]","[27.95, 28.05]","[24900.0, 25875.0]","[4.915, 5.145]",0.05,0.11842586886873777,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[33.105, 35.6]","[25.75, 26.15]","[27.7, 27.85]","[24750.0, 24900.0]","[4.805, 4.915]",0.15384615384615385,0.11851590279506918,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[24.95, 25.2514]","[27.95, 28.05]","[24900.0, 25875.0]","[4.915, 5.145]",0.1,0.118571807307315,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[27.85, 27.95]","[24750.0, 24900.0]","[4.915, 5.145]",0.0,0.11869982409706542,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[5.265, 6.93]",0.14285714285714285,0.1187108316721227,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[27.7, 27.85]","[23693.75, 24750.0]","[5.145, 5.265]",0.09523809523809523,0.11874937409152914,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[27.95, 28.05]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.11874971409321572,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0129, 0.013]","[35.6, 45.95]","[23.1, 24.95]","[28.155, 28.4]","[24900.0, 25875.0]","[4.915, 5.145]",0.1,0.11878125238340413,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[27.85, 27.95]","[24900.0, 25875.0]","[5.145, 5.265]",0.14285714285714285,0.11887637614769644,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[25.2514, 25.75]","[27.95, 28.05]","[23693.75, 24750.0]","[5.145, 5.265]",0.16666666666666666,0.11893440858810997,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0129, 0.013]","[13.11, 33.105]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[5.265, 6.93]",0.1111111111111111,0.11895548263914547,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}"
"[6.55, 7.415]","[6.135, 6.29]","[0.0125, 0.0127]","[35.6, 45.95]","[25.75, 26.15]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.0,0.1189943650602385,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0125, 0.0127]","[35.6, 45.95]","[25.2514, 25.75]","[27.85, 27.95]","[23693.75, 24750.0]","[5.145, 5.265]",0.25,0.1190610706425907,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.135, 6.29]","[0.0125, 0.0127]","[33.105, 35.6]","[25.75, 26.15]","[27.85, 27.95]","[24900.0, 25875.0]","[5.265, 6.93]",0.05555555555555555,0.11918504017367892,18,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[27.95, 28.05]","[24750.0, 24900.0]","[4.915, 5.145]",0.08333333333333333,0.11923319832688553,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.045, 6.115]","[0.0129, 0.013]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.25,0.11929449521977942,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.115, 6.135]","[0.0127, 0.0129]","[35.6, 45.95]","[25.75, 26.15]","[28.05, 28.155]","[23693.75, 24750.0]","[5.265, 6.93]",0.0,0.11936007774948074,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[9.155, 9.585]","[6.045, 6.115]","[0.013, 0.0132]","[13.11, 33.105]","[25.2514, 25.75]","[28.05, 28.155]","[22972.5, 23693.75]","[5.145, 5.265]",0.0,0.11950486650294137,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}"
"[7.415, 9.155]","[6.135, 6.29]","[0.0125, 0.0127]","[33.105, 35.6]","[25.2514, 25.75]","[27.85, 27.95]","[24900.0, 25875.0]","[5.265, 6.93]",0.0,0.11959547678390933,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0127, 0.0129]","[35.6, 45.95]","[25.2514, 25.75]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.1111111111111111,0.11980859306550301,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}"
"[7.415, 9.155]","[6.045, 6.115]","[0.0129, 0.013]","[33.105, 35.6]","[25.2514, 25.75]","[27.85, 27.95]","[24750.0, 24900.0]","[4.105, 4.805]",0.0,0.11987093412688428,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.06, '离子液添加量': 0.07, '原液添加比例': 0.85}"
"[6.55, 7.415]","[6.045, 6.115]","[0.0127, 0.0129]","[35.6, 45.95]","[24.95, 25.2514]","[28.05, 28.155]","[24900.0, 25875.0]","[5.145, 5.265]",0.2,0.12008973810195313,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.135, 6.29]","[0.0125, 0.0127]","[33.105, 35.6]","[25.75, 26.15]","[27.95, 28.05]","[23693.75, 24750.0]","[5.265, 6.93]",0.13636363636363635,0.12022292958065207,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
"[7.415, 9.155]","[6.115, 6.135]","[0.0125, 0.0127]","[13.11, 33.105]","[24.95, 25.2514]","[27.95, 28.05]","[24900.0, 25875.0]","[4.915, 5.145]",0.16666666666666666,0.12023951870117931,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}"
